연도,월,국가,대륙,검색량
2025,4,에스토니아,유럽,-28758
2025,4,콜롬비아,남아메리카,-16147
2025,4,쿠바,남아메리카,-26911
2025,4,아랍에미리트,아시아,5805
2025,4,이스라엘,아시아,2652
2025,4,요르단,아시아,-55974
2025,4,괌,오세아니아,219421
2025,4,아르헨티나,남아메리카,5754
2025,4,모로코,아프리카,-942
2025,4,그리스,유럽,-10210
2025,4,몰타,유럽,5805
2025,4,라오스,아시아,92905
2025,4,러시아,아시아,82708
2025,4,말레이시아,아시아,-16147
2025,5,일본,아시아,49980
2025,5,대만,아시아,151150
2025,5,뉴질랜드,오세아니아,14567
2025,5,베트남,아시아,63667
2025,5,싱가포르,아시아,59392
2025,5,볼리비아,아프리카,-13921
2025,5,브라질,남아메리카,-26038
2025,5,필리핀,아시아,39115
2025,5,중국,아시아,49980
2025,5,스위스,유럽,63333
2025,5,스페인,유럽,22049
2025,5,벨기에,유럽,3393
2025,5,몽골,아시아,74096
2025,5,미국,북아메리카,29148
2025,5,모로코,아프리카,3393
2025,5,태국,아시아,49878
2025,5,인도네시아,아시아,53567
2025,5,인도,아시아,-9484
2025,5,몰타,유럽,6807
2025,5,캄보디아,아시아,-28692
2025,5,카타르,아시아,-28692
2025,5,캐나다,북아메리카,-7745
2025,5,네팔,아시아,-31758
2025,5,터키,유럽,20541
2025,5,피지,오세아니아,20541
2025,5,포르투갈,유럽,14567
2025,5,팔라우,오세아니아,3393
2025,5,프랑스,유럽,-9484
2025,5,호주,오세아니아,-11403
2025,5,이집트,아프리카,3393
2025,5,탄자니아,아프리카,-9484
2025,5,이탈리아,유럽,18640
2025,5,오스트리아,유럽,-11403
2025,5,영국,유럽,-11403
2025,5,에스토니아,유럽,-22166
2025,5,아랍에미리트,아시아,5754
2025,5,이스라엘,아시아,3393
2025,5,요르단,아시아,-30297
2025,5,조지아,유럽,49980
2025,5,체코,유럽,-9484
2025,5,케냐,아프리카,-21380
2025,5,콜롬비아,남아메리카,-16879
2025,5,쿠바,남아메리카,-21380
2025,5,아르헨티나,남아메리카,3393
2025,5,괌,오세아니아,271623
2025,5,러시아,아시아,75258
2025,5,말레이시아,아시아,-16149
2025,5,그리스,유럽,-9398
2025,5,라오스,아시아,92905
2025,6,일본,아시아,49980
2025,6,대만,아시아,151150
2025,6,뉴질랜드,오세아니아,14567
2025,6,베트남,아시아,63667
2025,6,싱가포르,아시아,59392
2025,6,볼리비아,아프리카,-13921
2025,6,브라질,남아메리카,-26038
2025,6,필리핀,아시아,39115
2025,6,중국,아시아,49980
2025,6,스위스,유럽,63333
2025,6,스페인,유럽,23201
2025,6,벨기에,유럽,3393
2025,6,몽골,아시아,74096
2025,6,미국,북아메리카,29148
2025,6,모로코,아프리카,3393
2025,6,인도네시아,아시아,53567
2025,6,인도,아시아,-9484
2025,6,태국,아시아,49878
2025,6,몰타,유럽,6807
2025,6,캄보디아,아시아,-28692
2025,6,카타르,아시아,-28692
2025,6,캐나다,북아메리카,-7745
2025,6,네팔,아시아,-31758
2025,6,터키,유럽,23201
2025,6,피지,오세아니아,22049
2025,6,포르투갈,유럽,14567
2025,6,팔라우,오세아니아,3393
2025,6,프랑스,유럽,-9484
2025,6,호주,오세아니아,-11403
2025,6,이집트,아프리카,3393
2025,6,탄자니아,아프리카,-9484
2025,6,이탈리아,유럽,18640
2025,6,오스트리아,유럽,-11403
2025,6,영국,유럽,-11403
2025,6,에스토니아,유럽,-22166
2025,6,아랍에미리트,아시아,5754
2025,6,이스라엘,아시아,3393
2025,6,요르단,아시아,-30297
2025,6,조지아,유럽,49980
2025,6,체코,유럽,-9484
2025,6,케냐,아프리카,-21380
2025,6,콜롬비아,남아메리카,-16879
2025,6,쿠바,남아메리카,-21380
2025,6,아르헨티나,남아메리카,3393
2025,6,괌,오세아니아,271623
2025,6,러시아,아시아,75258
2025,6,말레이시아,아시아,-16149
2025,6,그리스,유럽,-9398
2025,6,라오스,아시아,92905
2025,7,일본,아시아,49980
2025,7,대만,아시아,151150
2025,7,뉴질랜드,오세아니아,13785
2025,7,베트남,아시아,64465
2025,7,싱가포르,아시아,63333
2025,7,중국,아시아,45023
2025,7,볼리비아,아프리카,-13921
2025,7,브라질,남아메리카,-26038
2025,7,스위스,유럽,63667
2025,7,스페인,유럽,23201
2025,7,벨기에,유럽,-9484
2025,7,몽골,아시아,74096
2025,7,미국,북아메리카,23201
2025,7,모로코,아프리카,-9484
2025,7,인도네시아,아시아,49980
2025,7,인도,아시아,-11403
2025,7,태국,아시아,34260
2025,7,필리핀,아시아,24293
2025,7,캄보디아,아시아,-30297
2025,7,카타르,아시아,-35481
2025,7,몰타,유럽,6807
2025,7,캐나다,북아메리카,-11403
2025,7,네팔,아시아,-38547
2025,7,이집트,아프리카,-9484
2025,7,탄자니아,아프리카,-11830
2025,7,이탈리아,유럽,14567
2025,7,오스트리아,유럽,-11830
2025,7,영국,유럽,-11830
2025,7,에스토니아,유럽,-22166
2025,7,아랍에미리트,아시아,5754
2025,7,이스라엘,아시아,-9398
2025,7,요르단,아시아,-35481
2025,7,터키,유럽,22049
2025,7,피지,오세아니아,18886
2025,7,포르투갈,유럽,14567
2025,7,팔라우,오세아니아,-9484
2025,7,프랑스,유럽,-11830
2025,7,호주,오세아니아,-11830
2025,7,조지아,유럽,49980
2025,7,체코,유럽,-11830
2025,7,케냐,아프리카,-21380
2025,7,콜롬비아,남아메리카,-16879
2025,7,쿠바,남아메리카,-21380
2025,7,아르헨티나,남아메리카,-7745
2025,7,괌,오세아니아,271623
2025,7,그리스,유럽,-11403
2025,7,러시아,아시아,75258
2025,7,말레이시아,아시아,-16149
2025,7,라오스,아시아,92905
2025,8,일본,아시아,49980
2025,8,대만,아시아,170368
2025,8,뉴질랜드,오세아니아,6807
2025,8,중국,아시아,22181
2025,8,베트남,아시아,74096
2025,8,싱가포르,아시아,63333
2025,8,볼리비아,아프리카,-15165
2025,8,브라질,남아메리카,-24919
2025,8,스위스,유럽,63667
2025,8,스페인,유럽,14567
2025,8,벨기에,유럽,-9484
2025,8,조지아,유럽,49980
2025,8,태국,아시아,22049
2025,8,필리핀,아시아,18886
2025,8,몽골,아시아,75258
2025,8,캄보디아,아시아,-29178
2025,8,카타르,아시아,-35481
2025,8,인도네시아,아시아,49980
2025,8,인도,아시아,-11403
2025,8,네팔,아시아,-38547
2025,8,캐나다,북아메리카,-11403
2025,8,미국,북아메리카,16073
2025,8,모로코,아프리카,-9484
2025,8,이집트,아프리카,-9484
2025,8,탄자니아,아프리카,-11830
