,검색일자,국가,대륙,모바일검색량,PC검색량,총검색량
131,2020-03,아르헨티나,아메리카,24259,1331,25590
132,2020-03,이집트,아프리카,1643,361,2004
133,2020-03,이탈리아,유럽,12834,1723,14557
134,2020-03,인도네시아,아시아,22220,4508,26728
135,2020-03,일본,아시아,32509,8191,40700
136,2020-03,중국,아시아,285,53,338
137,2020-03,캐나다,아메리카,1247,127,1374
138,2020-03,태국,아시아,6440,1956,8396
139,2020-03,터키,유럽,2208,296,2504
140,2020-04,대만,아시아,13670,3563,17233
141,2020-04,라오스,아시아,5856,792,6648
142,2020-04,러시아,아시아,646,118,764
143,2020-04,몽골,아시아,3068,750,3818
144,2020-04,미국,아메리카,11597,2713,14310
145,2020-04,미국,오세아니아,8968,2906,11874
146,2020-04,베트남,아시아,12587,2993,15580
147,2020-04,스위스,유럽,13294,3286,16580
148,2020-04,스페인,유럽,631,91,722
149,2020-04,아르헨티나,아메리카,4656,256,4912
150,2020-04,인도네시아,아시아,12916,2698,15614
151,2020-04,일본,아시아,22039,6209,28248
152,2020-04,조지아,유럽,829,43,872
153,2020-04,중국,아시아,2741,682,3423
154,2020-04,태국,아시아,8992,2752,11744
155,2020-04,피지,오세아니아,623,64,687
156,2020-05,대만,아시아,15799,4170,19969
157,2020-05,라오스,아시아,1170,195,1365
158,2020-05,러시아,아시아,531,26,557
159,2020-05,러시아,유럽,365,30,395
160,2020-05,몽골,아시아,2095,365,2460
161,2020-05,미국,아메리카,13137,3117,16254
162,2020-05,미국,오세아니아,10112,2938,13050
163,2020-05,베트남,아시아,20539,5061,25600
164,2020-05,스위스,유럽,11889,3361,15250
165,2020-05,스페인,유럽,316,26,342
166,2020-05,아랍에미리트,아시아,1504,173,1677
167,2020-05,이탈리아,유럽,4281,1301,5582
168,2020-05,인도네시아,아시아,19631,3263,22894
169,2020-05,일본,아시아,28685,7634,36319
170,2020-05,중국,아시아,905,189,1094
171,2020-05,태국,아시아,34036,5316,39352
172,2020-05,팔라우,오세아니아,520,25,545
173,2020-06,그리스,유럽,642,166,808
174,2020-06,뉴질랜드,오세아니아,3782,1001,4783
175,2020-06,대만,아시아,17151,4510,21661
176,2020-06,몽골,아시아,279,41,320
177,2020-06,미국,아메리카,16611,4261,20872
178,2020-06,미국,오세아니아,14755,4161,18916
179,2020-06,베트남,아시아,17297,4788,22085
180,2020-06,스위스,유럽,11066,3362,14428
181,2020-06,스페인,유럽,220,55,275
182,2020-06,이탈리아,유럽,2006,620,2626
183,2020-06,인도,아시아,202,370,572
184,2020-06,인도네시아,아시아,17362,3851,21213
185,2020-06,일본,아시아,33420,9086,42506
186,2020-06,중국,아시아,1604,537,2141
187,2020-06,탄자니아,아프리카,646,20,666
188,2020-06,태국,아시아,19008,4817,23825
189,2020-06,터키,유럽,1271,115,1386
190,2020-06,프랑스,유럽,400,79,479
191,2020-07,그리스,유럽,269,32,301
192,2020-07,뉴질랜드,오세아니아,407,45,452
193,2020-07,대만,아시아,20196,4893,25089
194,2020-07,라오스,아시아,1678,137,1815
195,2020-07,러시아,아시아,294,38,332
196,2020-07,몽골,아시아,2178,315,2493
197,2020-07,미국,아메리카,16954,3748,20702
198,2020-07,미국,오세아니아,10483,3367,13850
199,2020-07,베트남,아시아,17948,3900,21848
200,2020-07,스위스,유럽,13161,3085,16246
201,2020-07,이탈리아,유럽,1685,402,2087
202,2020-07,인도네시아,아시아,10856,2308,13164
203,2020-07,일본,아시아,36030,9303,45333
204,2020-07,조지아,유럽,546,24,570
205,2020-07,중국,아시아,5995,1762,7757
206,2020-07,체코,유럽,267,199,466
207,2020-07,태국,아시아,13289,3653,16942
208,2020-07,터키,유럽,360,40,400
209,2020-07,팔라우,오세아니아,2338,591,2929
210,2020-07,프랑스,유럽,328,59,387
211,2020-08,대만,아시아,11783,6794,18577
212,2020-08,러시아,아시아,368,35,403
213,2020-08,러시아,유럽,37,198,235
214,2020-08,몽골,아시아,273,584,857
215,2020-08,미국,아메리카,15890,9261,25151
216,2020-08,미국,오세아니아,6815,3445,10260
217,2020-08,베트남,아시아,10359,5863,16222
218,2020-08,스위스,유럽,7769,5890,13659
219,2020-08,오스트리아,유럽,22,403,425
220,2020-08,인도네시아,아시아,7489,5364,12853
221,2020-08,일본,아시아,21001,12455,33456
222,2020-08,조지아,유럽,690,402,1092
223,2020-08,중국,아시아,3488,1771,5259
224,2020-08,태국,아시아,7553,4346,11899
225,2020-08,터키,유럽,356,558,914
226,2020-08,팔라우,오세아니아,4677,2497,7174
227,2020-08,프랑스,오세아니아,315,16,331
228,2020-09,대만,아시아,3425,13578,17003
229,2020-09,러시아,아시아,31,229,260
230,2020-09,러시아,유럽,25,255,280
231,2020-09,몽골,아시아,54,264,318
232,2020-09,미국,아메리카,3908,18987,22895
233,2020-09,미국,오세아니아,1071,4000,5071
234,2020-09,베트남,아시아,2788,12672,15460
235,2020-09,스위스,유럽,2974,12250,15224
236,2020-09,스페인,유럽,352,1492,1844
237,2020-09,아르헨티나,아메리카,9,283,292
238,2020-09,영국여행,유럽,136,870,1006
239,2020-09,이탈리아,유럽,40,239,279
240,2020-09,인도,아시아,229,1016,1245
241,2020-09,인도네시아,아시아,882,3410,4292
242,2020-09,일본,아시아,7553,28393,35946
243,2020-09,조지아,유럽,102,113,215
244,2020-09,중국,아시아,2155,9044,11199
245,2020-09,캐나다,아메리카,37,219,256
246,2020-09,태국,아시아,2771,9247,12018
247,2020-09,터키,유럽,126,787,913
