검색일자,국가,대륙,총검색량
2020-07,뉴질랜드,오세아니아,452
2020-07,대만,아시아,25089
2020-07,라오스,아시아,1815
2020-07,러시아,아시아,332
2020-07,몽골,아시아,2493
2020-07,미국,북아메리카,20702
2020-07,베트남,아시아,21848
2020-07,스위스,유럽,16246
2020-07,이탈리아,유럽,2087
2020-07,인도네시아,아시아,13164
2020-07,일본,아시아,45333
2020-07,조지아,유럽,570
2020-07,중국,아시아,7757
2020-07,체코,유럽,466
2020-07,태국,아시아,16942
2020-07,터키,유럽,400
2020-07,팔라우,오세아니아,2929
2020-07,프랑스,유럽,387
2020-08,괌,오세아니아,10260
2020-08,대만,아시아,18577
2020-08,러시아,아시아,403
2020-08,러시아,유럽,235
2020-08,몽골,아시아,857
2020-08,미국,북아메리카,25151
2020-08,베트남,아시아,16222
2020-08,스위스,유럽,13659
2020-08,오스트리아,유럽,425
2020-08,인도네시아,아시아,12853
2020-08,일본,아시아,33456
2020-08,조지아,유럽,1092
2020-08,중국,아시아,5259
2020-08,태국,아시아,11899
2020-08,터키,유럽,914
2020-08,팔라우,오세아니아,7174
2020-08,프랑스,오세아니아,331
2020-09,괌,오세아니아,5071
2020-09,대만,아시아,17003
2020-09,러시아,아시아,260
2020-09,러시아,유럽,280
2020-09,몽골,아시아,318
2020-09,미국,북아메리카,22895
2020-09,베트남,아시아,15460
2020-09,스위스,유럽,15224
2020-09,스페인,유럽,1844
2020-09,아르헨티나,남아메리카,292
2020-09,영국,유럽,1006
2020-09,이탈리아,유럽,279
2020-09,인도,아시아,1245
2020-09,인도네시아,아시아,4292
2020-09,일본,아시아,35946
2020-09,조지아,유럽,215
2020-09,중국,아시아,11199
2020-09,캐나다,북아메리카,256
2020-09,태국,아시아,12018
2020-09,터키,유럽,913
2020-09,팔라우,오세아니아,549
2020-09,프랑스,유럽,991
2020-10,괌,오세아니아,5499
2020-10,뉴질랜드,오세아니아,277
2020-10,대만,아시아,17732
2020-10,몽골,아시아,995
2020-10,미국,북아메리카,24871
2020-10,베트남,아시아,16234
2020-10,스위스,유럽,12852
2020-10,스페인,유럽,1585
2020-10,이탈리아,유럽,257
2020-10,인도,아시아,561
2020-10,인도네시아,아시아,4656
2020-10,일본,아시아,49947
2020-10,중국,아시아,11483
2020-10,캐나다,북아메리카,1427
2020-10,태국,아시아,12394
2020-10,터키,유럽,312
2020-10,팔라우,오세아니아,518
2020-10,필리핀,아시아,255
2020-10,호주,오세아니아,1082
2020-11,괌,오세아니아,757
2020-11,그리스,유럽,388
2020-11,뉴질랜드,오세아니아,971
2020-11,대만,아시아,14277
2020-11,라오스,아시아,550
2020-11,러시아,아시아,1243
2020-11,러시아,유럽,180
2020-11,몰타,유럽,7911
2020-11,몽골,아시아,232
2020-11,미국,북아메리카,26302
2020-11,베트남,아시아,14438
2020-11,스위스,유럽,10841
2020-11,아랍에미리트,아시아,469
2020-11,인도,아시아,645
2020-11,인도네시아,아시아,2098
2020-11,일본,아시아,42619
2020-11,중국,아시아,11043
2020-11,캐나다,북아메리카,5672
2020-11,태국,아시아,10490
2020-11,터키,유럽,1448
2020-11,팔라우,오세아니아,581
2020-11,프랑스,유럽,209
2020-12,괌,오세아니아,1870
2020-12,뉴질랜드,오세아니아,632
2020-12,대만,아시아,12152
2020-12,러시아,아시아,654
2020-12,러시아,유럽,539
2020-12,모로코,아프리카,852
2020-12,몰타,유럽,243
2020-12,미국,북아메리카,18002
2020-12,베트남,아시아,10218
2020-12,볼리비아,아프리카,233
2020-12,스위스,유럽,11661
2020-12,오스트리아,유럽,215
2020-12,이집트,아프리카,2130
2020-12,이탈리아,유럽,254
2020-12,인도,아시아,408
2020-12,인도네시아,아시아,417
2020-12,일본,아시아,26785
2020-12,중국,아시아,6497
2020-12,캐나다,북아메리카,2337
2020-12,태국,아시아,9143
2020-12,터키,유럽,4330
2020-12,프랑스,유럽,237
2021-01,괌,오세아니아,3849
2021-01,뉴질랜드,오세아니아,2084
2021-01,대만,아시아,12396
2021-01,라오스,아시아,873
2021-01,말레이시아,아시아,282
2021-01,몽골,아시아,2183
2021-01,미국,북아메리카,19071
2021-01,베트남,아시아,16067
2021-01,스위스,유럽,11747
2021-01,아랍에미리트,아시아,2948
2021-01,인도네시아,아시아,3333
2021-01,일본,아시아,27536
2021-01,조지아,유럽,966
2021-01,중국,아시아,3774
2021-01,캐나다,북아메리카,1800
2021-01,콜롬비아,남아메리카,599
2021-01,태국,아시아,9429
2021-01,터키,유럽,1420
2021-01,팔라우,오세아니아,2099
2021-02,괌,오세아니아,3395
2021-02,뉴질랜드,오세아니아,191
2021-02,대만,아시아,10979
2021-02,러시아,아시아,484
2021-02,러시아,유럽,212
2021-02,몰타,유럽,865
2021-02,몽골,아시아,438
2021-02,미국,북아메리카,20773
2021-02,베트남,아시아,13629
2021-02,스위스,유럽,9206
2021-02,스페인,유럽,687
2021-02,아랍에미리트,아시아,3885
2021-02,영국,유럽,360
2021-02,이집트,아프리카,1952
2021-02,이탈리아,유럽,1823
2021-02,인도네시아,아시아,883
2021-02,일본,아시아,27094
2021-02,조지아,유럽,3233
2021-02,중국,아시아,1688
2021-02,캐나다,북아메리카,518
2021-02,케냐,아프리카,497
2021-02,태국,아시아,8560
2021-02,터키,유럽,2620
2021-02,팔라우,오세아니아,531
2021-02,프랑스,유럽,198
2021-02,필리핀,아시아,325
2021-03,괌,오세아니아,5079
2021-03,대만,아시아,15329
2021-03,라오스,아시아,255
2021-03,러시아,아시아,1181
2021-03,몽골,아시아,561
2021-03,미국,북아메리카,22809
2021-03,베트남,아시아,18277
2021-03,스위스,유럽,10855
2021-03,스페인,유럽,2390
2021-03,싱가포르,아시아,936
2021-03,아랍에미리트,아시아,602
2021-03,이집트,아프리카,329
2021-03,인도네시아,아시아,214
2021-03,일본,아시아,34642
2021-03,조지아,유럽,1017
2021-03,중국,아시아,6584
2021-03,캐나다,북아메리카,234
2021-03,태국,아시아,13609
2021-03,터키,유럽,6093
2021-03,팔라우,오세아니아,2187
2021-04,괌,오세아니아,5310
2021-04,그리스,유럽,1370
2021-04,대만,아시아,12932
2021-04,몰타,유럽,497
2021-04,미국,북아메리카,24554
2021-04,베트남,아시아,16347
2021-04,스위스,유럽,7502
2021-04,스페인,유럽,1836
2021-04,싱가포르,아시아,204
2021-04,아랍에미리트,아시아,233
2021-04,영국,유럽,257
2021-04,이스라엘,아시아,2528
2021-04,이탈리아,유럽,2046
2021-04,인도,아시아,2128
2021-04,인도네시아,아시아,556
2021-04,일본,아시아,29393
2021-04,중국,아시아,5568
2021-04,캐나다,북아메리카,510
2021-04,쿠바,남아메리카,1261
2021-04,태국,아시아,13405
2021-04,터키,유럽,3221
2021-05,괌,오세아니아,12977
2021-05,그리스,유럽,516
2021-05,뉴질랜드,오세아니아,351
2021-05,대만,아시아,12010
2021-05,러시아,아시아,337
2021-05,몰타,유럽,1178
2021-05,몽골,아시아,299
2021-05,미국,북아메리카,30446
2021-05,베트남,아시아,14888
2021-05,스위스,유럽,8707
2021-05,스페인,유럽,3916
2021-05,싱가포르,아시아,3536
2021-05,이스라엘,아시아,2004
2021-05,이탈리아,유럽,244
2021-05,인도,아시아,1543
2021-05,일본,아시아,33638
2021-05,조지아,유럽,692
2021-05,중국,아시아,5273
2021-05,캐나다,북아메리카,344
2021-05,태국,아시아,13469
2021-05,터키,유럽,3419
2021-05,프랑스,유럽,685
2021-06,괌,오세아니아,31508
2021-06,대만,아시아,11156
2021-06,몰타,유럽,925
2021-06,몽골,아시아,1204
2021-06,미국,북아메리카,35627
2021-06,베트남,아시아,15509
2021-06,스위스,유럽,10370
2021-06,스페인,유럽,9251
2021-06,싱가포르,아시아,13605
2021-06,인도,아시아,481
2021-06,인도네시아,아시아,1823
2021-06,일본,아시아,39735
2021-06,조지아,유럽,2351
2021-06,태국,아시아,21267
2021-06,터키,유럽,8296
2021-06,프랑스,유럽,6085
2021-06,필리핀,아시아,745
2021-07,괌,오세아니아,23441
2021-07,그리스,유럽,630
2021-07,뉴질랜드,오세아니아,247
2021-07,대만,아시아,10026
2021-07,라오스,아시아,335
2021-07,몰타,유럽,830
2021-07,몽골,아시아,1222
2021-07,미국,북아메리카,30862
2021-07,베트남,아시아,9185
2021-07,스위스,유럽,5987
2021-07,스페인,유럽,1328
2021-07,에스토니아,유럽,3989
2021-07,이스라엘,아시아,1665
2021-07,이탈리아,유럽,281
2021-07,인도네시아,아시아,4277
2021-07,일본,아시아,29644
2021-07,조지아,유럽,3904
2021-07,중국,아시아,1022
2021-07,체코,유럽,665
2021-07,케냐,아프리카,494
2021-07,쿠바,남아메리카,534
2021-07,태국,아시아,13393
2021-07,터키,유럽,2632
2021-07,팔라우,오세아니아,6118
2021-07,필리핀,아시아,1943
2021-08,괌,오세아니아,36947
2021-08,그리스,유럽,1823
2021-08,대만,아시아,11075
2021-08,모로코,아프리카,7249
2021-08,몽골,아시아,285
2021-08,미국,북아메리카,40314
2021-08,베트남,아시아,4647
2021-08,브라질,남아메리카,299
2021-08,스위스,유럽,13636
2021-08,스페인,유럽,1511
2021-08,아랍에미리트,아시아,436
2021-08,이스라엘,아시아,467
2021-08,이탈리아,유럽,708
2021-08,인도네시아,아시아,1385
2021-08,일본,아시아,35087
2021-08,조지아,유럽,344
2021-08,중국,아시아,697
2021-08,캐나다,북아메리카,291
2021-08,케냐,아프리카,584
2021-08,쿠바,남아메리카,1159
2021-08,태국,아시아,13408
2021-08,터키,유럽,10401
2021-08,프랑스,유럽,1534
2021-09,괌,오세아니아,87388
2021-09,대만,아시아,16048
2021-09,몰타,유럽,3985
2021-09,미국,북아메리카,52461
2021-09,베트남,아시아,6580
2021-09,스위스,유럽,11859
2021-09,스페인,유럽,14097
2021-09,아랍에미리트,아시아,405
2021-09,오스트리아,유럽,879
2021-09,이탈리아,유럽,3066
2021-09,인도네시아,아시아,11623
2021-09,일본,아시아,55310
2021-09,조지아,유럽,445
2021-09,태국,아시아,24830
2021-09,터키,유럽,1343
2021-09,팔라우,오세아니아,595
2021-09,프랑스,유럽,869
2021-10,괌,오세아니아,111134
2021-10,대만,아시아,11740
2021-10,미국,북아메리카,68851
2021-10,베트남,아시아,26970
2021-10,스위스,유럽,7915
2021-10,스페인,유럽,31013
2021-10,싱가포르,아시아,55628
2021-10,인도네시아,아시아,12023
2021-10,일본,아시아,125880
2021-10,태국,아시아,70629
2021-10,터키,유럽,19809
2021-11,괌,오세아니아,74943
2021-11,대만,아시아,12849
2021-11,미국,북아메리카,66383
2021-11,베트남,아시아,41919
2021-11,스위스,유럽,16298
2021-11,스페인,유럽,31660
2021-11,싱가포르,아시아,48614
2021-11,일본,아시아,167214
2021-11,태국,아시아,74944
2021-11,터키,유럽,47268
2021-11,프랑스,유럽,692
2021-11,호주,오세아니아,896
2021-12,괌,오세아니아,17681
2021-12,대만,아시아,8431
2021-12,러시아,아시아,494
2021-12,미국,북아메리카,42472
2021-12,베트남,아시아,26287
2021-12,스위스,유럽,8235
2021-12,스페인,유럽,10849
2021-12,싱가포르,아시아,29152
2021-12,아랍에미리트,아시아,2883
2021-12,일본,아시아,78943
2021-12,태국,아시아,34793
2021-12,터키,유럽,28020
2021-12,프랑스,유럽,4452
