검색일자,국가,대륙,총검색량
2024-04,싱가포르,아시아,232217
2024-04,인도네시아,아시아,54901
2024-04,일본,아시아,1177226
2024-04,중국,아시아,200030
2024-04,태국,아시아,167656
2024-04,포르투갈,유럽,19558
2024-04,필리핀,아시아,25389
2024-05,대만,아시아,319967
2024-05,몽골,아시아,226771
2024-05,베트남,아시아,276771
2024-05,싱가포르,아시아,271239
2024-05,인도네시아,아시아,163230
2024-05,일본,아시아,1476841
2024-05,중국,아시아,77175
2024-05,태국,아시아,61473
2024-05,포르투갈,유럽,9554
2024-05,필리핀,아시아,86010
2024-06,대만,아시아,294940
2024-06,몽골,아시아,267110
2024-06,베트남,아시아,266807
2024-06,싱가포르,아시아,275056
2024-06,인도네시아,아시아,176126
2024-06,일본,아시아,1364176
2024-06,중국,아시아,79752
2024-06,태국,아시아,38138
2024-06,필리핀,아시아,93050
2024-07,대만,아시아,351989
2024-07,라오스,아시아,8738
2024-07,몽골,아시아,272881
2024-07,베트남,아시아,324655
2024-07,싱가포르,아시아,276774
2024-07,인도네시아,아시아,199721
2024-07,일본,아시아,1579953
2024-07,조지아,유럽,9290
2024-07,중국,아시아,182258
2024-07,태국,아시아,24841
2024-07,필리핀,아시아,16418
2024-08,대만,아시아,406895
2024-08,몽골,아시아,248117
2024-08,베트남,아시아,303266
2024-08,싱가포르,아시아,268397
2024-08,인도네시아,아시아,102083
2024-08,일본,아시아,1367312
2024-08,중국,아시아,236192
2024-08,태국,아시아,135353
2024-08,필리핀,아시아,18579
2024-09,대만,아시아,401497
2024-09,몽골,아시아,91358
2024-09,베트남,아시아,277867
2024-09,싱가포르,아시아,210103
2024-09,인도네시아,아시아,77156
2024-09,일본,아시아,1153406
2024-09,중국,아시아,260628
2024-09,태국,아시아,200614
2024-10,대만,아시아,486287
2024-10,베트남,아시아,262285
2024-10,싱가포르,아시아,210259
2024-10,이탈리아,유럽,19551
2024-10,인도네시아,아시아,132726
2024-10,일본,아시아,1541874
2024-10,중국,아시아,299110
2024-10,태국,아시아,31510
2024-11,대만,아시아,299853
2024-11,베트남,아시아,177795
2024-11,싱가포르,아시아,121262
2024-11,이탈리아,유럽,5708
2024-11,인도네시아,아시아,37022
2024-11,일본,아시아,967703
2024-11,중국,아시아,215453
2024-11,태국,아시아,24087
2024-12,괌,오세아니아,1298
2024-12,대만,아시아,330340
2024-12,말레이시아,아시아,3608
2024-12,베트남,아시아,239936
2024-12,싱가포르,아시아,141286
2024-12,인도네시아,아시아,11635
2024-12,일본,아시아,1090791
2024-12,중국,아시아,224111
2024-12,태국,아시아,148496
2024-12,프랑스,유럽,57
2024-12,필리핀,아시아,1711
2025-01,괌,오세아니아,0
2025-01,네팔,아시아,0
2025-01,대만,아시아,203313
2025-01,미국,북아메리카,0
2025-01,베트남,아시아,138505
2025-01,싱가포르,아시아,112100
2025-01,인도,아시아,0
2025-01,인도네시아,아시아,72125
2025-01,일본,아시아,660452
2025-01,중국,아시아,164907
2025-01,태국,아시아,65906
2025-01,프랑스,유럽,0
2025-02,대만,아시아,80868
2025-02,베트남,아시아,49088
2025-02,싱가포르,아시아,43458
2025-02,이집트,아프리카,3024
2025-02,인도네시아,아시아,31679
2025-02,일본,아시아,224782
2025-02,중국,아시아,52809
2025-02,태국,아시아,24522
2025-02,호주,오세아니아,2710
