ds,yhat
2019-09-27,42812.01870910951
2019-09-28,42785.21284885705
2019-09-29,49769.68643658595
2019-09-30,50024.82294601918
2019-10-01,47049.83257202523
2019-10-02,45275.86388405439
2019-10-03,42943.70947159284
2019-10-04,40128.6810311194
2019-10-05,39902.398276579435
2019-10-06,46742.26810615916
2019-10-07,46909.928353471405
2019-10-08,43905.228128600786
2019-10-09,42158.34037214136
2019-10-10,39907.513335837575
2019-10-11,37224.03481621386
2019-10-12,37174.15068140974
2019-10-13,44228.710152256834
2019-10-14,44641.80718326255
2019-10-15,41904.98410542941
2019-10-16,40439.58662117048
2019-10-17,38474.76983504331
2019-10-18,36072.7218246933
2019-10-19,36290.83889056012
2019-10-20,43591.61767781881
2019-10-21,44221.5265909519
2019-10-22,41665.41627800744
2019-10-23,40339.052610448
2019-10-24,38467.26705750102
2019-10-25,36109.2871864334
2019-10-26,36320.97876804584
2019-10-27,43564.763204204064
2019-10-28,44088.47243832408
2019-10-29,41379.70208106482
2019-10-30,39858.24831052315
2019-10-31,37754.126685627794
2019-11-01,35132.73984702382
2019-11-02,35056.930698279735
2019-11-03,41996.69061170723
2019-11-04,42207.791184090915
2019-11-05,39185.90698359594
2019-11-06,37358.82170122235
2019-11-07,34964.222639533924
2019-11-08,32074.65704728586
2019-11-09,31759.392975102754
2019-11-10,38493.77248278292
2019-11-11,38538.266224926476
2019-11-12,35391.9289333332
2019-11-13,33484.72260129296
2019-11-14,31055.278091216307
2019-11-15,28175.856325377754
2019-11-16,27914.251073860687
2019-11-17,34743.406558104405
2019-11-18,34920.02022708423
2019-11-19,31938.698095811906
2019-11-20,30224.253140471974
2019-11-21,28009.647969718506
2019-11-22,25361.14989767934
2019-11-23,25340.43421716151
2019-11-24,32414.402519003517
2019-11-25,32833.98008004444
2019-11-26,30088.453606113373
2019-11-27,28597.934139519155
2019-11-28,26591.441254149562
2019-11-29,24132.172312410832
2019-11-30,24279.689105813995
2019-12-01,31499.78622790557
2019-12-02,32043.303758425056
2019-12-03,29400.44519758519
2019-12-04,27993.186216675946
2019-12-05,26053.27218484863
2019-12-06,23647.37110548537
2019-12-07,23839.11807632181
2019-12-08,31098.82023132157
2019-12-09,31682.09002742026
2019-12-10,29083.97361180354
2019-12-11,27731.165967370158
2019-12-12,25859.817074694773
2019-12-13,23540.50195578797
2019-12-14,23840.09670831375
2019-12-15,31231.33506041752
2019-12-16,31971.31828704543
2019-12-17,29555.54945238257
2019-12-18,28410.087024208842
2019-12-19,26769.324460174772
2019-12-20,24700.969929770912
2019-12-21,25267.968472476696
2019-12-22,32938.140195351036
2019-12-23,33962.80532811225
2019-12-24,31830.964037611957
2019-12-25,30961.622030432914
2019-12-26,29581.763688946117
2019-12-27,27751.541353354693
2019-12-28,28526.416964009422
2019-12-29,36367.02322594437
2019-12-30,37518.00850722678
2019-12-31,35462.42679623172
2020-01-01,34614.25739655815
2020-01-02,33196.5501697998
2020-01-03,31266.759596990796
2020-01-04,31878.9992856384
2020-01-05,39493.980390453835
2020-01-06,40357.89547199218
2020-01-07,37956.80752282191
2020-01-08,36709.12838650346
2020-01-09,34843.68308936059
2020-01-10,32424.92521201278
2020-01-11,32515.037882369274
2020-01-12,39583.68783012303
2020-01-13,39886.698905108475
2020-01-14,36920.21043622473
2020-01-15,35112.42833719966
2020-01-16,32702.88503461406
2020-01-17,29765.954528390677
2020-01-18,29373.189870329865
2020-01-19,36002.844434446146
2020-01-20,35918.33240328393
2020-01-21,32622.199753777335
2020-01-22,30548.201418230165
2020-01-23,27938.992160383663
2020-01-24,24871.006565531407
2020-01-25,24416.271957003984
2020-01-26,31051.929602446253
2020-01-27,31038.73700115799
2020-01-28,27875.121299723603
2020-01-29,25989.37713606186
2020-01-30,23617.513003464155
2020-01-31,20828.31711555038
2020-02-01,20685.381321787838
2020-02-02,27656.852484260897
2020-02-03,27994.17763416659
2020-02-04,25186.40615037179
2020-02-05,23652.635318150446
2020-02-06,21620.096480186865
2020-02-07,19149.44614087425
2020-02-08,19296.99440254554
2020-02-09,26524.63459662442
2020-02-10,27078.735662600637
